N° de la FEB,fr1,fr2,ar1,ar2,bg1,bg2,chi1,chi2,cs1,cs2,da1,da2,de1,de2,el1,el2,en1,en2,es1,es2,es_XL1,es_XL2,et1,et2,fa_IR1,fa_IR2,fi1,fi2,he1,he2,hi1,hi2,hr1,hr2,hu1,hu2,id1,id2,it1,it2,ja1,ja2,ko1,ko2,lt1,lt2,lv1,lv2,nl_NL1,nl_NL2,no1,no2,pl1,pl2,pt_BR1,pt_BR2,pt_PT1,pt_PT2,ro1,ro2,ru1,ru2,sk1,sk2,sl1,sl2,sq1,sq2,sr1,sr2,sv1,sv2,tr1,tr2,uk1,uk2,vi1,vi2
10309_10,Bleu indigo,,أزرق نيلي,,Синьо индиго,,靛蓝色,,Indigová modř,,Indigoblå,,Indigo Blau,,Μπλε indigo,,Indigo blue,,Azul índigo,,Azul índigo,,Indigosinine,,آبی نیلی,,Indigonsininen,,כחול אינדיגו,,नील,,Indigo plava,,Indigókék,,Biru nila,,Blu indaco,,インディゴブルー,,인디고 블루,,Indigo mėlyna,,Indigo zils,,Indigo blauw,,Indigo blå,,Błękit indygo,,Índigo,,Azul Indigo,,Albastru indigo,,Индиго синий,,Indigová modrá,,Indigo modra,,E kaltër Indigo,,Indigo plava,,Indigo blå,,Indigo mavisi,,Синій індиго,,Màu chàm,
10309_11,Corail,,مرجاني,,Корал,,珊瑚红,,Korálová,,Koraller,,Koralle,,Κοραλί,,Coral,,Coral,,Coral,,Korallpunane,,مرجان,,Koralli,,קורל,,कोरल,,Koraljni,,Koral,,Koral,,Corallo,,コーラル,,코랄,,Koralų,,Koraļļu,,Koraal,,Korall,,Koral,,Coral,,Coral,,Coral,,Коралловый,,Koralová,,Koralna,,Coral,,Koralno crvena,,Korall röd,,Mercan,,Кораловий,,San hô,
10309_12,Jaune,,أصفر,,Жълт,,黄色,,Žlutá,,Gul,,Gelb,,Κίτρινο,,Yellow,,Amarillo,,Amarillo,,Kollane,,زرد,,Keltainen,,צהוב,,पीला,,Žuta,,Sárga,,Kuning,,Giallo,,黄,,노란색,,Geltona,,Dzeltena,,Geel,,Gul,,Żółty,,Amarelo,,Amarelo,,Galben,,Желтый,,Žltá,,Rumena,,E verdhë,,Жута,,Gul,,Sarı,,Жовтий,,Vàng,
10309_13,Orange,,برتقالي,,оранжево,,橙色,,Oranžová,,Orange,,Orange,,Πορτοκαλί,,Orange,,Naranja,,Naranja,,Oranž,,نارنجی,,Oranssi,,כתום,,नारंगी,,Narančasta,,Narancssárga,,Oranye,,Arancione,,オレンジ,,주황색,,Oranžinė,,Oranža,,Oranje,,Oransje,,Pomarańczowy,,Laranja,,Cor de laranja,,Portocaliu,,Оранжевый,,Oranžová,,Oranžna,,portokalli,,Наранџаста,,Orange,,Turuncu,,Оранжевий,,Cam,
10309_14,Vert,,أخضر,,Зелен,,绿色,,Zelená,,Grøn,,Grün,,Πράσινο,,Green,,Verde,,Verde,,Roheline,,سبز,,Vihreä,,ירוק,,हरा,,Zelena,,Zöld,,Hijau,,Verde,,緑,,녹색,,Žalia,,Zaļa,,Groen,,Grønn,,Zielony,,Verde,,Verde,,Verde,,Зеленый,,Zelená,,Zelena,,E gjelbër,,Зелена,,Grön,,Yeşil,,Зелений,,Xanh lục,
10309_15,Blanc arctique,,أبيض ثلجي,,Арктическо бяло,,北极白,,Arktická bílá,,Arktisk hvid,,Arktisweiß,,Αρκτικό λευκό,,Arctic white,,Blanco polar,,Blanco polar,,Arktiline valge,,سفید قطبی,,Arctic valkoinen,,לבן קרח,,आर्कटिक सफेद,,Arktička bijela,,Sarkvidéki fehér,,Putih arktik,,Bianco artico,,ホワイト,,아틱 화이트,,Arktinė balta,,Arktikas balts,,Arctisch wit,,Arktisk hvit,,Biel arktyczna,,Branco,,Branco Ártico,,Alb arctic,,Арктический белый,,Arktická biela,,Arktik bela,,E bardhë Arktik,,Arktičko belo,,Arktisk vit,,kutup beyazı,,Аркт. білий,,Trắng bắc cực,
10309_16,Rose,,وردي,,Розов,,粉红色,,Růžová,,Lyserød,,Pink,,Ροζ,,Pink,,Rosa,,Rosa,,Roosa,,رنگ صورتی,,Vaaleanpunainen,,ורוד,,गुलाबी,,Ružičasta,,Rózsaszín,,Merah muda,,Rosa,,ピンク,,핑크,,Rožinė,,Rozā,,Roze,,Rosa,,Różowy,,Rosa,,Rosa,,Roz,,Розовый,,Ružová,,Rožnata,,E pembe,,Roze,,Rosa,,Pembe,,Рожевий,,Hồng,
10309_17,Vert citron,,أخضر ليموني,,Лайм зелено,,浅绿色,,Limetkově zelená,,Limegrøn,,Hellgrün,,Πράσινο λάιμ,,Lime green,,Verde lima,,Verde lima,,Laimiroheline,,لیمو سبز,,Limenvihreä,,ירוק ליים,,पीला हरा रंग,,Limeta zelena,,Lime zöld,,Hijau limau,,Verde lime,,ライムグリーン,,라임 그린,,Gelsvai žalsvas,,Laima zaļš,,Limoen groen,,Lime grønn,,Zieleń limonkowa,,Verde,,Verde limão,,Verde lămâie,,Зеленый лаймовый,,Limetkovo zelená,,Rumeno zelena,,Limoni e gjelbër,,Limeta zelena,,Lime grön,,Limon yeşili,,Зелений лайм,,Chanh xanh,
10309_18,Bleu,,أزرق,,Син,,蓝色,,Modrá,,Blå,,Blau,,Μπλε,,Blue,,Azul,,Azul,,Sinine,,آبی,,Sininen,,כחול,,नीला,,Plava,,Kék,,Biru,,Blu,,青,,파란색,,Mėlyna,,Zila,,Blauw,,Blå,,Niebieski,,Azul,,Azul,,Albastru,,Синий,,Modrá,,Modra,,E kaltër,,Плава,,Blå,,Mavi,,Синій,,Lam,
10309_3T1,Style: 1,,1 :طراز,,покажи: 1,,显示模式: 1,,Styl: 1,,Display mode: 1,,Display: 1,,Στυλ: 1,,Display mode: 1,,Estilo: 1,,Pantalla: 1,,Ekraan: 1,,حالت نمایش: 1,,Näyttötila: 1,,מצב תצוגה: 1,,डिस्प्ले मोड: 1,,Nacin prikaza: 1,,Stílus: 1,,Gaya: 1,,Display tipo: 1,,表示モード: 1,,화면 선택모드: 1,,Stilius: 1,,Rāda: 1,,Display mode: 1,,Utseende: 1,,Tryb ekranu: 1,,Estilo: 1,,Ecrã: 1,,Mod afişaj: 1,,Режим дисплея: 1,,Štýl : 1,,Prikazovalnik: 1,,Mod. shfaqjes: 1,,Displej: 1,,Display läge: 1,,Stil : 1,,Режим дисплея: 1,,Kiểu: 1,
10309_3T2,Style: 2,,2 :طراز,,покажи: 2,,显示模式: 2,,Styl: 2,,Display mode: 2,,Display: 2,,Στυλ: 2,,Display mode: 2,,Estilo: 2,,Pantalla: 2,,Ekraan: 2,,حالت نمایش: 2,,Näyttötila: 2,,מצב תצוגה: 2,,डिस्प्ले मोड: 2,,Nacin prikaza: 2,,Stílus: 2,,Gaya: 2,,Display tipo: 2,,表示モード: 2,,화면 선택모드: 2,,Stilius: 2,,Rāda: 2,,Display mode: 2,,Utseende: 2,,Tryb ekranu: 2,,Estilo: 2,,Ecrã: 2,,Mod afişaj: 2,,Режим дисплея: 2,,Štýl : 2,,Prikazovalnik: 2,,Mod. shfaqjes: 2,,Displej: 2,,Display läge: 2,,Stil : 2,,Режим дисплея: 2,,Kiểu: 2,
10309_3T3,Style: 3,,3 :طراز,,покажи: 3,,显示模式: 3,,Styl: 3,,Display mode: 3,,Display: 3,,Στυλ: 3,,Display mode: 3,,Estilo: 3,,Pantalla: 3,,Ekraan: 3,,حالت نمایش: 3,,Näyttötila: 3,,מצב תצוגה: 3,,डिस्प्ले मोड: 3,,Nacin prikaza: 3,,Stílus: 3,,Gaya: 3,,Display tipo: 3,,表示モード: 3,,화면 선택모드: 3,,Stilius: 3,,Rāda: 3,,Display mode: 3,,Utseende: 3,,Tryb ekranu: 3,,Estilo: 3,,Ecrã: 3,,Mod afişaj: 3,,Режим дисплея: 3,,Štýl : 3,,Prikazovalnik: 3,,Mod. shfaqjes: 3,,Displej: 3,,Display läge: 3,,Stil : 3,,Режим дисплея: 3,,Kiểu: 3,
10309_3T4,Style: 4,,4 :طراز,,покажи: 4,,显示模式: 4,,Styl: 4,,Display mode: 4,,Display: 4,,Στυλ: 4,,Display mode: 4,,Estilo: 4,,Pantalla: 4,,Ekraan: 4,,حالت نمایش: 4,,Näyttötila: 4,,מצב תצוגה: 4,,डिस्प्ले मोड: 4,,Nacin prikaza: 4,,Stílus: 4,,Gaya: 4,,Display tipo: 4,,表示モード: 4,,화면 선택모드: 4,,Stilius: 4,,Rāda: 4,,Display mode: 4,,Utseende: 4,,Tryb ekranu: 4,,Estilo: 4,,Ecrã: 4,,Mod afişaj: 4,,Режим дисплея: 4,,Štýl : 4,,Prikazovalnik: 4,,Mod. shfaqjes: 4,,Displej: 4,,Display läge: 4,,Stil : 4,,Режим дисплея: 4,,Kiểu: 4,
10309_3T5,Style: 5,,5 :طراز,,покажи: 5,,显示模式: 5,,Styl: 5,,Display mode: 5,,Display: 5,,Στυλ: 5,,Display mode: 5,,Estilo: 5,,Pantalla: 5,,Ekraan: 5,,حالت نمایش: 5,,Näyttötila: 5,,מצב תצוגה: 5,,डिस्प्ले मोड: 5,,Nacin prikaza: 5,,Stílus: 5,,Gaya: 5,,Display tipo: 5,,表示モード: 5,,화면 선택모드: 5,,Stilius: 5,,Rāda: 5,,Display mode: 5,,Utseende: 5,,Tryb ekranu: 5,,Estilo: 5,,Ecrã: 5,,Mod afişaj: 5,,Режим дисплея: 5,,Štýl : 5,,Prikazovalnik: 5,,Mod. shfaqjes: 5,,Displej: 5,,Display läge: 5,,Stil : 5,,Режим дисплея: 5,,Kiểu: 5,
10309_4T1,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
10309_4T2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,
10309_4T3,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,
10309_4T4,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,
10309_4T5,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,
10309_8,STYLE,,الطراز,,стил,,样式,,STYL,,STIL,,STIL,,ΣΤΥΛ,,STYLE,,ESTILO,,ESTILO,,STIIL,,نوع,,TYYLI,,סגנון,,शैली,,Izgled,,STÍLUS,,GAYA,,STILE,,スタイル,,스타일,,STILIUS,,STILS,,STIJL,,Utseende,,STYL,,ESTILO,,ESTILO,,STIL,,СТИЛЬ,,Štýl,,STIL,,STILI,,STIL,,STIL,,STİL,,СТИЛЬ,,KiỂU,
10309_9,COULEUR,,اللون,,цвят,,颜色,,BARVA,,FARVE,,FARBE,,ΧΡΩΜΑ,,COLOUR,,COLOR,,COLOR,,VÄRV,,رنگ,,VÄRI,,צבע,,रंग,,BOJA,,SZÍN,,WARNA,,COLORE,,カラー,,색상,,SPALVA,,KRĀSA,,KLEUR,,FARGE,,KOLOR,,COR,,COR,,CULOARE,,ЦВЕТ,,FARBA,,BARVA,,NGJYRA,,BOJA,,FÄRG,,RENK,,КОЛІР,,MÀU SẮC,
10503_11,Remorque:capteur,parking OFF,مقطورة: حساسات,OFF الركن,ремарке: паркинг,сензори изкл.,拖车：驻车,传感器关闭,Přívěs: Park.,snímače vypnuté,Trailer: park.,sensor off,Anhänger: Park-,sensoren OFF,Τρέιλερ: αισθητ.,πάρκινγκ OFF,Trailer: parking,sensors OFF,Remolque: sensor,aparcamiento OFF,Remolque:sensor,estacionam. OFF,Treiler: p. and.,VÄLJAS,سیستم کمکی پارک,سنسورها خاموش,Perävaunu: ei,pysäköintiapua,חיישן נגרר,כבוי,ट्रेलर: पार्किंग,सेंसर बंद,Prikolica: park.,senzori OFF,Vontatás: park.,radar OFF,Trailer: sensor,parkir MATI,Rimorch: sensori,parcheggio OFF,トレーラー:,PKセンサーOFF,트레일러: 주차,센서 OFF,Priekaba: park.,jutikl. IŠJUNGTI,Piekabe: stāvv.,sensori izslēgti,Aanhanger: park.,sensoren OFF,Tilhenger: Park.,sensorer av,Przyczepa: czuj.,parkowania OFF,Reboque: sensor,estacion. OFF,Reboque:sensor,estacion. OFF,Remorcă: senzori,Parcare OFF,Прицеп: парк.,датчики выкл.,Príves parkov.,sním. vypnuté,Prikolica: park,senzorji izklop,Rimorkio: Senso.,e parkimit fikur,Prikolica: park,senz isključeni,Släp: Parkerings,assistans AV,Römork: park,kaptör devredışı,Причіп: паркув.,радари вимкнено,Đoạn giới thiệu:,cảm biến đỗ xe TẮT
10503_12,Capteurs parking,indisponibles,حساسات الركن,غير متوفره,паркинг сензори,недостъпни,驻车传感器,不可用,Park. snímače,nedostupné,P sensor,utilgænglig,Parksensoren,nicht verfügbar,Αισθητ. πάρκινγκ,μη διαθέσιμοι,Parking sensors,unavailable,Sensores aparcam,no disponibles,Sensores de est.,no disponibles,Parkimisandurid,pole saadaval,سنسور پارک,عدم دسترسی,Pysäköintitutkat,ei saatavilla,חיישני חניה,לא זמינים,पार्किंग सेंसर,अनुपलब्ध,Parking senzori,nedostupni,Parkoló radarok,nem elérhetők,Sensor parkir,tdk sedia,Sensori parch.,indisponibili,PKセンサー,使用不可,주차보조 센서,기능 불가,Park. jutikliai,negalimi,Stāvv. sensori,nav pieejami,Parkeersensoren,niet beschikbaar,Park. sensorer,utilgjengelig,Czujniki parkow.,niedostępne,Sensor estacion.,indisponível,Sensores estac.,indisponíveis,Senzori parcare,Indisponibili,Парк. датчики,недоступны,Parkovacie sním.,nedostupné,Park senzorji,niso na voljo,Sensorët e park.,të padispon.,Parking senzori,nedostupni,Parkeringsassist,Ej tillgängl.,Park kaptörleri,kullanılamıyor,Паркув. радари,недоступні,Cảm biến đỗ xe,không khả dụng
10503_3,Capteurs parking,à contrôler,تحقق من,استشعارات الركن,паркинг сензор,провери,检查,驻车传感器,Zkontrolovat,park. senzory,P-sensorer,kontrolleres,Parksensoren,prüfen,Ελέγξτε αισθητ.,παρκαρίσματος,Check,Parking sensors,Revisar sensores,de aparcamiento,Sensores de est.,a controlar,Parkimisandurid,kontrollida,سنسور پارک,چک شود,Tarkista,pysäköintianturi,בדוק,חיישני חנייה,पार्किंग सेंसर,जॉंचें,Provjeriti park.,senzore,Parkolás érzéke-,lőt ellenőrizni,Sensor parkir,memeriksa,Sensori parcheg.,controllare,パーキングセンサー,点検,주차 센서,점검 요망,Statymo jutikl.,patikrinti,Parkoš. sensori,jāpārbauda,Controleer,parkeersensoren,Park sensor må,kontrolleres,Sprawdź czujniki,parkowania,Verif. sensor de,estacionamento,Verificar,sensor. estac.,Verifică senzori,de parcare,Проверьте,датчики парковки,Skontrolovať,park. snímače,Preverite,park. senzorje,Kontrollo,Sensorët e park.,Proveriti,parking senzore,Kontrollera,Park.-sensorer,Park sensörleri,kontrol ettirin,Перевірте,датч. паркування,cảm biến đỗ,cần ktra
10503_9,Capteurs parking,à contrôler,تحقق من,استشعارات الركن,паркинг сензор,провери,检查,驻车传感器,Zkontrolovat,park. senzory,P-sensorer,kontrolleres,Parksensoren,prüfen,Ελέγξτε αισθητ.,παρκαρίσματος,Check,Parking sensors,Revisar sensores,de aparcamiento,Sensores de est.,a controlar,Parkimisandurid,kontrollida,سنسور پارک,چک شود,Tarkista,pysäköintianturi,בדוק,חיישני חנייה,पार्किंग सेंसर,जॉंचें,Provjeriti park.,senzore,Parkolás érzéke-,lőt ellenőrizni,Sensor parkir,memeriksa,Sensori parcheg.,controllare,パーキングセンサー,点検,주차 센서,점검 요망,Statymo jutikl.,patikrinti,Parkoš. sensori,jāpārbauda,Controleer,parkeersensoren,Park sensor må,kontrolleres,Sprawdź czujniki,parkowania,Verif. sensor de,estacionamento,Verificar,sensor. estac.,Verifică senzori,de parcare,Проверьте,датчики парковки,Skontrolovať,park. snímače,Preverite,park. senzorje,Kontrollo,Sensorët e park.,Proveriti,parking senzore,Kontrollera,Park.-sensorer,Park sensörleri,kontrol ettirin,Перевірте,датч. паркування,cảm biến đỗ,cần ktra
10508_1,Caméra parking,sans visibilité,كاميرا الركن,لا يوجد رؤية,парк. камера,няма видимост,驻车摄像头,不可见,Parkovací kamera,bez viditelnosti,Parkering kamera,intet udsyn,Parkkamera,ohne Sicht,Κάμερα πάρκινγκ,χωρίς ορατότητα,Parking camera,no visibility,Cámara aparcam.,sin visibilidad,Cámara est.,sin visión,Parkimiskaamera,nähtavus puudub,دوربین پارک,عدم دید,Kamerassa,ei näkyvyyttä,אין ראות,למצלמת הרברס,पार्किंग कैमरा,नो विज़िबिलिटी,Parking kamera,bez vidljivosti,Parkoló kamera,eltakarva,Kamera parkir,tdk ada visibilitas,Retrocamera,senza visibilità,パーキングカメラ,視界不良,후방 카메라,감지 불가,Uždengta,park. kamera,Stāvv. kamera,nav redzamības,Parkeer camera,geen zicht,Park. Kamera,ingen sikt,Kamery parking.,brak widoczn.,Câmera de estac.,sem visibilidade,Câmara estac.,sem visibilidade,Cameră parcare,Fără vizibil.,Парк. камеры,нет видимости,Park. kamera,bez viditeľnosti,Parkirna kamera,ni vidnosti,Kamera parkimi,nuk ka dukshmëri,Parking kamera,nema vidljivosti,Parkeringskamera,Ingen sikt,Park kamerası,görüş yok,Парк. камера,немає видимості,Camera đậu xe,không có khả năng hiển thị
10508_2,Caméra parking,à contrôler,تحقق من,كاميرا الركن,парк. камера,за проверка,驻车摄像头,待检查,Zkontrolovat,parkovací kameru,Parkering kamera,kontrolleres,Parkkamera,prüfen,Ελέγξτε,κάμερα πάρκινγκ,Check,Parking camera,Revisar cámara,de aparcamiento,Cámara est.,a controlar,Parkimiskaamera,kontroll,دوربین پارک,کنترل شود,Tarkista,pysäköintikamera,בדוק,מצלמת רברס,पार्किंग कैमरा,जाँच,Provjeriti,parking kameru,Parkoló kamera,ellenőrizendő,Tandai,Kamera parkir,Retrocamera,Controllare,パーキングカメラ,要確認,후방 카메라를,점검하십시오,Patikrinti,park. kamerą,Stāvv. kamera,jāpārbauda,Parkeer camera,controleren,Park. Kamera,kontrolleres,Kamery parking.,sprawdź,Verificar a,câmera traseira,Verificar câmara,estacionamento,Cameră parcare,De verificat,Парк. камеры,проверить,Skontolovať,park. kameru,Preverite,Parkirno kamero,Kontrollo,Kamera parkimi,Proveriti,parking kameru,Kontrollera,Parkeringskamera,Park kamerası,kontrol ettirin,Перевірте,парк-ну камеру,Kiểm tra,camera đỗ xe
10508_3,Caméra parking,à contrôler,تحقق من,كاميرا الركن,парк. камера,за проверка,驻车摄像头,待检查,Zkontrolovat,parkovací kameru,Parkering kamera,kontrolleres,Parkkamera,prüfen,Ελέγξτε,κάμερα πάρκινγκ,Check,Parking camera,Revisar cámara,de aparcamiento,Cámara est.,a controlar,Parkimiskaamera,kontroll,دوربین پارک,کنترل شود,Tarkista,pysäköintikamera,בדוק,מצלמת רברס,पार्किंग कैमरा,जाँच,Provjeriti,parking kameru,Parkoló kamera,ellenőrizendő,Tandai,Kamera parkir,Retrocamera,Controllare,パーキングカメラ,要確認,후방 카메라를,점검하십시오,Patikrinti,park. kamerą,Stāvv. kamera,jāpārbauda,Parkeer camera,controleren,Park. Kamera,kontrolleres,Kamery parking.,sprawdź,Verificar a,câmera traseira,Verificar câmara,estacionamento,Cameră parcare,De verificat,Парк. камеры,проверить,Skontolovať,park. kameru,Preverite,Parkirno kamero,Kontrollo,Kamera parkimi,Proveriti,parking kameru,Kontrollera,Parkeringskamera,Park kamerası,kontrol ettirin,Перевірте,парк-ну камеру,Kiểm tra,camera đỗ xe
10511_1,Park Assist,à contrôler,تحقق من,مساعد الركن,Провери,Park Assist,检查,Park Assist,Zkontrolovat,Park Assist,Kontroller,Park Assist,Park Assist,prüfen,Ελέγξτε,Park Assist,Check,Park Assist,Controlar,Park Assist,Controlar,Park Assist,Kontrollige,Park Assist,کنترل گردد,Park Assist,Tarkista,Park Assist,Park Assist,בדוק,Park Assist,की जाँच करें,Provjeriti,Park Assist,Park Assist,ellenőrizendő,Tandai,Bantuan parkir,Park Assist,controllare,Park Assist,要確認,Park Assist,점검하십시오,Tikrinti,Park Assist,Pārbaudīt,Park Assist,Park Assist,controleren,Kontroller,Park Assist,Park Assist,skontroluj,Verificar o,Park Assist,Verificar,Park Assist,Verifică,Park Assist,Проверить,Park Assist,Skontrolujte,Park Assist,Preverite,Park Assist,Kontrollo,Park Assist,Proveriti,Park Assist,Kontrollera,Park Assist,Park Assist,kontrol ettirin,Перевірте,Park Assist,Kiểm tra,Hỗ trợ đỗ xe
10511_5,Reprenez,le contrôle,إسترد,التحكم,поемете контрола,отново,收回,控制权,Převezměte,řízení,Tag kontrol,tilbage,Kontrolle,übernehmen,Αναλάβετε πάλι,τον έλεγχο,Take back,control,Retome,el control,Retome,el control,Taasta,kontroll,در دست گرفتن,کنترل,Ohjaa itse,,השב את השליטה,,नियंत्रण,वापस लें,Preuzmi kontrolu,nad upravljačem,Vegye át,a vezetést,Segera Pegang,Kemudi,Riprendere,il controllo,ハンドルを,操作してください,즉시 핸들을,잡으십시오,Susigrąžinti,valdymą,Pārņemiet,kontroli,Controle,overnemen,Ta tilbake,kontrollen,Przejmij,kontrolę,Retome o,controle,Assuma,o controlo,Reluați,controlul,Возьмите на себя,управление а/м,Prevezmite,kontrolu,Prevzemite,nadzor,Merr përsëri,kontrollin,Preuzmite,upravljanje,Återta,Kontrollen,Kontrolü,alınız,Візьміть на себе,керування,Lấy lại,quyền kiềm soát
10513_1,Risque de,collision,خطر الاصطدام,,риск от,катастрофа,危险,碰撞,Riziko nárazu,,Risiko for,kollision,Kollisions-,risiko,Κίνδυνος,σύγκρουσης,Risk of,collision,riesgo de,colisión,Riesgo de,colisión,Kokkupõrke,risk,خطر,برخورد,Törmäyksen,riski,סכנת,התנגשות,टकराव का,जोखिम,Rizik od,sudara,Ütközési,veszély,Resiko,tabrakan,Rischio di,collisione,衝突注意,,충돌 위험,,Avarijos,pavojus,Sadursmes,risks,Risico op,aanrijding,Fare for,kollisjon,Ryzyko,kolizji,Risco de,colisão,Risco de,colisão,Risc de,coliziune,Риск,столкновения,Riziko kolízie,,Tveganje za,trk,Rrezik për,përplasje,Rizik,od sudara,Risk för,Kollission,Çarpışma,riski,Ризик,зіткнення,Rủi ro,va chạm
10517_1,Reprenez,le contrôle,إسترد,التحكم,поемете контрола,отново,收回,控制权,Převezměte,řízení,Tag kontrol,tilbage,Kontrolle,übernehmen,Αναλάβετε πάλι,τον έλεγχο,Take back,control,Retome,el control,Retome,el control,Taasta,kontroll,در دست گرفتن,کنترل,Ohjaa itse,,השב את השליטה,,नियंत्रण,वापस लें,Preuzmi kontrolu,nad upravljačem,Vegye át,a vezetést,Segera Pegang,Kemudi,Riprendere,il controllo,ハンドルを,操作してください,즉시 핸들을,잡으십시오,Susigrąžinti,valdymą,Pārņemiet,kontroli,Controle,overnemen,Ta tilbake,kontrollen,Przejmij,kontrolę,Retome o,controle,Assuma,o controlo,Reluați,controlul,Возьмите на себя,управление а/м,Prevezmite,kontrolu,Prevzemite,nadzor,Merr përsëri,kontrollin,Preuzmite,upravljanje,Återta,Kontrollen,Kontrolü,alınız,Візьміть на себе,керування,Lấy lại,quyền kiềm soát
10519_1,Caméras parking,à contrôler,فحص,كاميرات الركن,парк. камери,за проверка,驻车摄像头,待检查,Zkontrolovat,parkovací kamery,Parkering kamera,kontrolleres,Parkkamera,prüfen,Κάμερες πάρκινγκ,ελέγξτε,Check,Parking cameras,Revisar cámaras,de aparcamiento,Cámaras est.,a controlar,Parkimisk.,kontroll,دوربین های پارک,کنترل شود,Tarkista,kamerat,בדוק,מצלמת רברס,पार्किंग कैमरा,जाँच,Provjeriti park.,kamere,Parkoló kamerák,ellenőrizendők,Tandai,Kamera parkir,Retrocamere,Controllare,パーキングカメラ,要確認,후방 카메라를,점검하십시오,Patikrinti,park. kameras,Stāvv. kameras,jāpārbauda,Parkeer camera's,controleren,Park. kameraer,kontrolleres,Kamery parking.,sprawdź,Câmeras de estac,à verificar,Verif. câmaras,estacionamento,Camere parcare,De verificat,Парк. камеры,проверить,Skontolovať,park. kamery,Preverite,Parkirne kamere,Kontrollo kamer.,e parkimit,Proveriti sistem,parking kamera,Kontrollera,Park.-kameror,Park kameraları,kontrol ettirin,Перевірте,парк. камери,Kiểm tra,camera đỗ xe
10519_2,Caméras parking,sans visibilité,كاميرات الركن,لا يوجد رؤية,парк. камери,няма видимост,驻车摄像头,不可见,Parkovací kamery,bez viditelnosti,Park. Kameraer,intet udsyn,Parkkamera,ohne Sicht,Κάμερες πάρκινγκ,χωρίς ορατότητα,Parking cameras,no visibiliy,Cámaras aparcam.,sin visibilidad,Cámaras est.,sin visión,Parkimisk.,nähtavus puudub,دوربین های پارک,عدم دید,Kameroissa,ei näkyvyyttä,אין ראות,למצלמת הרברס,पार्किंग कैमरा,नो विज़िबिलिटी,Parking kamere,bez vidljivosti,Parkoló kamerák,eltakarva,Kamera parkir,tidak ada jarak pandang,Retrocamere,senza visibilità,パーキングカメラ,視界不良,후방 카메라,감지 불가,Uždengtos,park. kameros,Stāvv. kameras,nav redzamības,Parkeer camera's,geen zicht,Park. kameraer,ingen sikt,Kamery parking.,brak widoczn.,Câmeras estac.,sem visibilidade,Câmaras estac.,sem visibilidade,Camere parcare,Fără vizibil.,Парк. камеры,нет видимости,Park. kamery,bez viditeľnosti,Parkirne kamere,ni vidnosti,Kamera park.,shikuesh. vogël,Parking kamere,nema vidljivosti,Park.-kameror,Ingen sikt,Park kameraları,görüş yok,Парк. камери,немає видимості,Camera đỗ xe,không có hình ảnh
10519_3,Aides parking,à contrôler,تحقق من,مساعد الركن,паркинг асистент,за проверка,驻车辅助,待检查,Zkontrolovat,Park. asistent,Park assist,kontrolleres,Parkhilfe,prüfen,Υποβ. Στάθμευσης,ελέγξτε,Check,Parking assist,Revisar ayudas,al aparcamiento,Ayuda conducción,a controlar,Parkimisabi,kontroll,سیستم کمکی پارک,کنترل شود,Tarkista,pysäköintiapu,בדוק,עזרי חנייה,पार्किंग सहायता,जाँच,Provjeri pomoć,pri parkiranju,Parkolás-segítő,ellenőrizendő,Tandai,Bantuan parkir,Aiuto alla guida,Controllare,パーキングアシスト,要確認,주차 보조,확인하십시오,Patikrinti,park. asistentą,Stāvv. asistents,jāpārbauda,Parkeerhulp,controleren,Park. assistanse,kontrolleres,Pomoc parkowania,sprawdź,Verificar,Parking Assist,Verificar ajudas,estacionamento,Asist. parcare,De verificat,Пом. при парк.,проверить,Skontolovať,park. asistenta,Preverite Pomoč,pri parkiranju,Kontrollo,Asist. parkimi,Parking pomoć,proveriti sistem,Kontrollera,Parkeringsassist,Park yardımı,kontrol ettirin,Перевірте,Помічник паркув.,Kiểm tra,hỗ trợ đỗ xe
