N° de la FEB,fr,ar,bg,chi,cs,da,de,el,en,es,es_XL,et,fa_IR,fi,he,hi,hr,hu,id,it,ja,ko,lt,lv,nl_NL,no,pl,pt_BR,pt_PT,ro,ru,sk,sl,sq,sr,sv,tr,uk,vi
10802_11,"Carte absente
appui long START","البطاقة مفقودة
Start إضغط مطوّل","картата липсва
нат./задр. START","未检测到钥匙卡
长按START按钮","Absence karty
přidržet START","Nøglekort savnes
Tryk/hold START","Keine KEYCARD
lang.Druck START","Απουσία κάρτας
πιέστε παρ.START","Keycard absent :
press/hold START","Tarjeta ausente
pres larga START","Llav tarj ausent
pres/mant START","Võtmekaart puudu
suru/hoia START","فاقد کارت کلید
START فشار/ مکث","Ei avainkorttia
Paina/pidä START","כרטיס מפתח חסר
לחץ/החזק START","कुंजी कार्ड नहीं
START दबाएँ","Kartica odsutna
prit./drži START","Káryta nem érz.
START hosszan","Tiada Krt Kunci
tkn/tahan START","Carta assente
pres.lunga START","キーカード検出できません
STARTボタンを押す","카드 감지불가
START 길게누름","Nėra rakto kort.
spau./laik START","Nav atsl. kart:
ilgi turēt START","Kaart afwezig
druk lang START","Nøkkelkort usynl
press/hold START","Karta nieobecna
naciśnij START","Sem cartão:
pressione START","Cartão ausente
press.long.START","Cartelă absentă
apasă lung START","Ключ не найден :
нажм/удерж START","Chýba karta
podržať ŠTART","Kartica odsotna
prit./drži START","Mungon kartela
shtyp/mbaj START","Kartica odsutna
prit. dugo START","Kort saknas:
Tryck/håll START","Kart algılanmadı
START uzun basın","Відс ключ-картка
натис/утр START","ko có thẻ
ấn/giữ START"
10802_12,"Carte
non détectée","لم يتم التعرف
علي البطاقة","Картата
не е открита","未探测到
钥匙卡","Karta
nedetekována","Nøglekort
ikke registreret","Chipkarte nicht
gefunden","Δεν ανιχνεύτηκε
κάρτα-κλειδί","Keycard
Not Detected","Tarjeta no
detectada","No se detectó
la llave tarjeta","Võtmekaarti
ei tuvastatud","کارت کلید
شناسایی نشد","Avainkorttia
ei tunnistettu","כרטיס מפתח
לא זוהה","की-कार्ड
नही पाया गया","Kartica
neotkrivena","Kártya nincs
érzékelve","Kartu Kunci
Tak Terdeteksi","Carta
non rilevata","カードキー
検出なし","스마트카드를
인식할수없습니다","Rakto kortelė
neaptikta","Atslēgas karte
nav atrasta","Kaart niet
gedetecteerd","Nøkkelkort
Ikke igjenkjent","Karta
niewykryta","Cartão
não detectado","Cartão
não-detetado","Cartelă
nedetectată","Ключ-карта
не обнаружена","Karta
nedetekovaná","Kartica
ni zaznana","Karta e
nuk u zbulua","Kartica
nije detektovana","Nyckelkort
ej funnet","Kart
okunamadı","Карта-ключ
не знайдена","Không phát hiện
Thẻ khóa"
10802_13,"Carte
non détectée","لم يتم التعرف
علي البطاقة","Картата
не е открита","未探测到
钥匙卡","Karta
nedetekována","Nøglekort
ikke registreret","Chipkarte nicht
gefunden","Δεν ανιχνεύτηκε
κάρτα-κλειδί","Keycard
Not Detected","Tarjeta no
detectada","No se detectó
la llave tarjeta","Võtmekaarti
ei tuvastatud","کارت کلید
شناسایی نشد","Avainkorttia
ei tunnistettu","כרטיס מפתח
לא זוהה","की-कार्ड
नही पाया गया","Kartica
neotkrivena","Kártya nincs
érzékelve","Kartu Kunci
Tak Terdeteksi","Carta
non rilevata","カードキー
検出なし","스마트카드를
인식할수없습니다","Rakto kortelė
neaptikta","Atslēgas karte
nav atrasta","Kaart niet
gedetecteerd","Nøkkelkort
Ikke igjenkjent","Karta
niewykryta","Cartão
não detectado","Cartão
não-detetado","Cartelă
nedetectată","Ключ-карта
не обнаружена","Karta
nedetekovaná","Kartica
ni zaznana","Karta e
nuk u zbulua","Kartica
nije detektovana","Nyckelkort
ej funnet","Kart
okunamadı","Карта-ключ
не знайдена","Không phát hiện
Thẻ khóa"
10802_14,"Embrayage
à contrôler","تحقق من
القابض","Проверете
съединителя",检查离合器,"Zkontrolujte
spojku","Kontroller
koblingen","Kupplung
prüfen","Ελέγξτε το
συμπλέκτη","Check
clutch","Revisar
embrague","Comprobar
embrague","Kontrollige
sidurit","کلاچ را
بررسی کنید","Tarkista
kytkin","בדוק
מצמד","क्लच की जाँच
करें","Provjerite
spojku","Ellenőriztesse a
tengelykapcsolót","Periksa
kopling","Controlla
frizione",クラッチを確認する,"클러치를
점검하십시오","Patikrinkite
sankabą","Pārbaudiet
sajūgu","Controleer
koppeling","Sjekk
clutch","Sprawdź
sprzęgło","Verificar
embreagem","Verificar a
embraiagem","Verificați
ambreiajul","Проверить
сцепление","Skontrolujte
spojku","Preverite
sklopko","Kontrolloni
fraksionin","Proveriti
kvačilo","Kontrollera
koppling","Debriyaj
kontrol","Перевірте
зчеплення","Kiểm tra
khớp ly hợp"
10802_15,"Système freinage
à contrôler","تحقق من
نظام الكبح","Провери спирач-
на система","检查
制动系统","Zkontrolovat
brzdový systém","Tjek
bremsesystem","Bremssystem
prüfen","Ελέγξτε
σύστημα πέδησης","WARNING: Check
Braking System","Revisar sistema
de frenado","Verificar
sist. de frenado","Kontrollige
pidurisüsteemi","بررسی
سیستم ترمز","Tarkista
jarrujärjestelmä","בדוק
מערכת בלמים","ब्रेक प्रणाली
की जांच करें","Provjerite
kočnice","Ellenőriztesse a
fékrendszert","SINYAL: Periksa
Sistem Rem","Circuito freni
controllare","ブレーキシステム
を点検","브레이크 장치를
점검해 주십시오","Tikrinti
stabdžių sistemą","Pārbaudiet
bremžu sistēmu","Controleer
remsysteem","Kontroller
Bremsesystem","Skontroluj
układ hamulcowy","Verificar sist.
de frenagem","Mandar verificar
os travões","Verifică sistem
de frânare","Проверьте
тормоза","Skontrolovať
brzdový systém","Preverite
zavorni sistem","LAJM
sistem frenimi","Proveriti
kočioni sistem","Kontrollera
Bromssystem","Fren sistemini
kontrol ettirin","Перевірте
гальмову систему","CẢNH BÁO: K.tra
H.thống Phanh"
10802_21,"Batterie défaut
appui long START",":خلل بالبطارية
START اضغط/ثبت","деф. батерия
нат./задр. START","蓄电池故障
长按START按钮","Závada baterie
přidržet START","Batteri fejl
Tryk/hold START","Batterie defekt
lang.Druck START","Βλάβη μπαταρίας
πιέστε παρ.START","Battery fault :
press/hold START","Fallo de batería
pres larga START","Falla batería
pres/mant START","Aku tõrge:
suru/hoia START","معیوبیت باطری
START فشار/ مکث","Akussa vika
Paina/pidä START","כשל בסוללה
לחץ/החזק START","बैटरी फॉल्ट
START दबाएँ","Kvar akumulatora
prit./drži START","Akku hiba
START hosszan","Kerusak. baterai
tkn/tahan START","Difetto batteria
pres.lunga START","キーバッテリー異常
STARTボタンを押す","차량배터리 이상
START 길게누름","Baterijos gedim.
spau./laik START","Baterijas kļūme:
ilgi turēt START","Batterij defect
druk lang START","Batteri feil
press/hold START","Uszk. akumulator
naciśnij START","Falha na bateria
press/seg START","Avaria bateria
press.long.START","Baterie defectă
apasă lung START","Батарея неиспр.:
нажм/удерж START","Chyba batérie
podržať ŠTART","Napaka baterije
prit./drži START","Akum.defekt:
shtyp/mbaj START","Greška baterije
prit. dugo START","Kortbatteri fel:
Tryck/håll START","Akü arıza
START uzun basın","Збій батарейки:
натис/утр START","pin lỗi
ấn/giữ START"
10802_22,"Appui long
sur START","اضغط للحظات
START","Натисни и задръж
START","按住
START按钮","Stisknout dlouze
START","Tryk og hold
START","START
gedrückt halten","Πατήστε και
κρατήστε START","Press and Hold
START","Presión larga
en START","Mant. Apretado
START","Vajutage/hoidke
nuppu START","فشردن نگهداشتن
START","Paina ja pidä
START","לחץ על START
והחזק","START
दबाए रखें","Pritisni i drži
START","Nyomja hosszan
a START-ot","Tekan dan Tahan
START","Pressione lunga
su START","STARTを押し
続けます","START 버튼을
길게 누르십시오","Nusp. ir laikyti
START","Nospiediet un
turiet START","START
ingedrukt houden","Press og hold
START","Naciśnij dłużej
na START","Pressionar e
segurar START","Premir longam.
em START","Apasă îndelung
START","Нажмите и
держите START","Podržať dlho
ŠTART","Pritisni in drži
START","Mbaj t
START","Pritisni i drži
START","Tryck och håll
START","START'a
uzun basınız","Натис. та утрим.
START","Nhấn và Giữ
nút START"
10802_24,"Arrêt moteur
forcé effectué","تم تنفيذ توقف
إجبارى للمحرك","принудителен
стоп на двигател","发动机
强制停止","Provedeno nucené
zastavení motoru","Tvunget motor
stop udført","Zwangsabschal-
tung Motor","Εξαναγκασμένη
διακοπή κινητήρα","Forced engine
stop performed","Efectuada parada
de motor forzada","Parada de motor
forzada hecha","Mootori sund-
seiskamine","فشار به موتور
متوقف گردید","Moottori
hätäpysäytetty","בוצע כיבוי
מנוע כפוי","इंजन जबरदस्ती
बंद किया गया","Motor prislino
zaustavljen","Motor kénysze-
rített leállása","Forced Engine
Stop performed","Arresto motore
inserim. forzato","エンジン
非常停止",엔진 긴급정지됨,"Privers. varikl.
Išj. atliktas","Veikta ārkārtas
motora apturēš.","Motor geforceerd
uitgezet","Påtvinget motor
stopp utført","Wymuszony
stop silnika","Parada emerg. do
motor realizada","Paragem motor
forçada efet.","Oprire motor
forțată","Принудительная
остановка дв-ля","Vynútené
vypnutie motora","Motor prisilno
zaustavljen","Ndalje dhunshme
e motorit","Motor prisilno
zaustavljen","Motor nödstoppad
Utfört","Motor
zorunlu durdu","Виконана примус.
зупинка двигуна","động cơ
dừng gấp"
10802_3,"Appuyer frein
+ START","اضغط على الكابح
START +","Натисни спирач-
ка + START","踩下制动踏板
按下START按钮","Sešlápnout pedál
brzdy + START","Bremsepedalen
+ START","Bremse + START
drücken","Πατήστε φρένο
+ START","Press Brake
+ START","Pisar el freno
+ START","Pisar freno
+ START","Vajutage pidurit
+ START","فشردن ترمز
+ START","Paina jarrua
+ START","לחץ על הבלם
ואז START","ब्रेक दबाएँ
और START दबाएँ","Pritisni kočnicu
+ START","Féket lenyomni
+ START","Tekan Rem
+ START","Premere freno
+ START","ブレーキとSTART
を押します","브레이크를 밟고
START 버튼을 누르십시오","Nuspausti stabdį
+ START","Nospiediet
bremzes + START","Druk op rem
+ START","Trå på brems
+ START","Naciśnij hamulec
+ START","Pisar no freio
+ START","Carregar travão
+ START","Apasă frâna
+ START","Нажмите тормоз
+ нажмите START","Zošliapnuť pedál
brzdy + ŠTART","Pritisnite pedal
zavore + START","Shtyp frenat
+ START","Kočnica
+ START","Tryck ner broms
+ START","Frene basın
+ START","Натисн.на гальма
+ START","Nhấn Phanh
+ START"
10802_5,"Tourner volant
+ START","أدر عجلة القيادة
+ START","Завърти волана
+ START","转动方向盘
按下START按钮","Otočit volantem
+ START","Drej rattet
+ START","Lenkrad drehen
+ START","Στρίψτε τιμόνι
+ START","Turn Steering
Wheel + START","Girar el volante
+ START","Girar volante
+ START","Keera roolirat.
+ START","چرخاندن فرمان
+ START","Käännä ohjaus-
pyörää +START","סובב את גלגל
ההגה ולחץ START","स्टीयरिंग व्हील
घुमाएं और START दबाएँ","Zakrenite volan
+ START","Kormányt elfor-
dítani + START","Putar Kemudi
Roda + START","Girare volante
+ START","ハンドルを回して
STARTを押します","핸들을 돌리면서
+ START","Pasukti
vairą + START","Pagrieziet
stūri + START","Draai stuurwiel
+ START","Vri på ratt
+ START","Obróć kierownicę
+ START","Girar o volante
+ START","Rodar volante
+ START","Roteşte volanul
+ START","Поверните руль
+ нажмите Start","Otočiť volantom
+ ŠTART","Zasukajte volan
+ START","Rrotullo timonin
+ START","Okrenuti volan
+ START","Vrid ratten
+ START","Direksiyon çevir
+ START","Поверніть кермо
+ START","Xoay Tay
lái + START"
10802_9,"Appui long
sur START","اضغط للحظات
START","Натисни и задръж
START","按住
START按钮","Stisknout dlouze
START","Tryk og hold
START","START
gedrückt halten","Πατήστε και
κρατήστε START","Press and Hold
START","Presión larga
en START","Mant. Apretado
START","Vajutage/hoidke
nuppu START","فشردن نگهداشتن
START","Paina ja pidä
START","לחץ על START
והחזק","START
दबाए रखें","Pritisni i drži
START","Nyomja hosszan
a START-ot","Tekan dan Tahan
START","Pressione lunga
su START","STARTを押し
続けます","START 버튼을
길게 누르십시오","Nusp. ir laikyti
START","Nospiediet un
turiet START","START
ingedrukt houden","Press og hold
START","Naciśnij dłużej
na START","Pressionar e
segurar START","Premir longam.
em START","Apasă îndelung
START","Нажмите и
держите START","Podržať dlho
ŠTART","Pritisni in drži
START","Mbaj t
START","Pritisni i drži
START","Tryck och håll
START","START'a
uzun basınız","Натис. та утрим.
START","Nhấn và Giữ
nút START"
10803_3,"Après-contact
permanent activé","إجعل وضع
الإشعال دائم","постоянен""+""след
контакт актив.","强制点火后电源
激活","Permanentní +APC
aktivováno","Fast tænding
aktiveret","Zündungsplus
aktiviert","Μόνιμο APC
ενεργοποιημένο","Permanent IGN
activated","Contacto
perman. activado","Pos-contacto
perm. activado","Pidev APC
aktiivne","APC دائم
فعال شد","Pakotettu
virransyöttö","קבוע מופעל
APC",स्थायी APC,"Stalni kontakt
uključen","Tartós gyújtás
bekapcsolva","Permanen APC
Aktif","Dopo contatto
sempre attivato","強制アフター
イグニッションon","시동준비
상태지속됩니다","Nuolatinis APC
įjugtas","Pastāvīgs APC
aktivizēts","+APC permanent
geactiveerd","Permanent APC
aktivert","Zasilanie
włączone","Pós-contato
permanente ativo","Após contacto
permanente ativo","Contact activat
permanent","Зажигание
включено","Zapnuté trvalé
zapaľovanie","Stalni kontakt
vključen","APC i përhershëm
aktivizuar","Stalni kontakt
aktiviran","Påtvingad tändn.
Aktiverad","Sürekli kontak
sonrası devrede","Постійне запалюв
активоване","Bộ lưu điện APC
được kích hoạt"
10803_4,"Approcher carte
du START + appui","ضع البطاقة قرب
‏START ثم ادفع","постави картата
и натисни START","钥匙卡靠近START
按下START","Umístit kartu k
START + stlačit","Placer kort nær
START og tryk","Karte nah an
START + drücken","Πλησιάστε κάρτα
στο START+πιέστε","Place card close
START and push","Acercar tarjeta
a START y pulsar","Acerque tarj. a
START + presione","Pane kaart START
juurde ja vajuta","کارت را نزدیک
START و فشار دهید","Pane kortti lähe
START ja paina","קרב כרטיס
ולחץ START","START कार्ड पर
जाएँ + दबाएँ","Približite kart.
do START i prit.","Kártyát START-
hoz + megnyomni","Dekatkan kartu
START dan dorong","Avvicina carta a
START e premi","カードをSTART
に近づけて押す","카드로 START를
직접 누르십시오","Padėti kor. prie
START ir paspau.","Novietot karti
pie START + sp.","Kaart dichtbij
START + drukken","Hold kort nær
START og trykk","Zbliż kartę do
START i naciśnij","Aprox. o cartão
e press. START","Aproximar cartão
START + carregar","Apropie card de
START şi apasă","Поднести карту
к START и нажать","Priblížiť kartu
ŠTART a potlač","Kartica blizu
START + pritisni","Vendos kart
START dhe shtype","Približi karticu
+ START","Plac. kort. nära
START och tryck","Kartı START'a
yaklaştır ve bas","Картку до START
й натиснути","Đặt thẻ gần
START và nhấn"
10803_5,"Placer carte sur
zone + START","ضع الكارت على
+ START منطقة","поставете карта
с/у зона+START","将卡片钥匙放在区域
+START","Umístit kartu na
zónu + START","Placer kort på
zone + START","Karte in Bereich
+ START","Βάλτε την κάρτα
στη ζώνη + START","Place card on
zone + START","Situar tarjeta
en zona + START","Colocar tarj. en
su lugar + START","Aseta kaart
alasse + START","گذاردن کارت
START + منطقه","Aseta avain tun-
nistimelle+START","הכנס כרטיס
לחריץ ולחץ START","क्षेत्र पर कार्ड
रखें + START","Staviti karticu
u zonu + START","Kártyát a zónára
+ START","Pasang kartu pd
zona + NYALA","Mettere carta su
zona + START","キーを検出ゾーンに置いて
STARTボタンを押す","카드존에 두고
START버튼누름","Padėti kortelę
ant zonos +START","Nolieciet karti
uz zonas + START","Plaats de kaart
in zone + START","Plasser kort på
sonen + START","Umieść kartę
w strefie +START","Posic. cartão na
área + START","Coloq. cartão na
zone + START","Plasează card pe
zonă + START","Внесите карту
в зону + START","Umiestniť kartu
do zóny + START","Postavi kartico
v območje+START","Vendos kartelën
në zonë+START","Kartica u zonu
+ START","Placera kort på
+ START område","Kartı yerine
yerleştir+START","Наблиз. карту до
кнопки + START","Đặt thẻ lên
vùng + START"
10803_7,"Patienter, mise
à jour en cours","انتظر، التحديث
فى تقدم","изчакай, актуал
в ход","等待
更新进行中","Čekejte, probíhá
aktualizace","Vent update
i gang","Warten, Up-
date läuft","Περιμένετε, γί-
vεται ενημέρωση","Wait, update
in progress","Actualización
en curso, espere","Espere, actualiz
en progreso","Oota
Värskendamine","انتظار، به روز ر
در حال پیشرفت","Odota, päivitys
käynnissä","המתן, עדכון
בתהליך","प्रतीक्षा, अपडेट
प्रगति में है","pričekajte,
ažurir. u tijeku","Várjon, frissí-
tés folyamatban","Tunggu Sedang
Di Update","Attendere, agg.
in corso","アップデート中
お待ちください","업데이트중
기다려 주십시오","Palaukite,
atnaujinimas","Pagaidiet
atjaunoš. notiek","Even geduld,
update bezig","Vent,oppdatering
pågår","Czekaj, trwa
aktualizacja","Aguarde,
atualizando","Aguarde,
atualiz.em curso","Actualizare în
curs, așteptați","Подождите,
вып-ся обновл-е","Čakajte prebieha
aktualizácia","Posodobitev v
teku, počakajte","Prit, duke u
azhuruar","Sačekajte,
ažurir. u toku","Vänta, update
pågår","Güncelleme devam
ediyor, bekleyin","Чекайте,
триває оновлення","Chờ, cập nhật
đang thực hiện"
10805_1,"Boucler ceinture
ou couper moteur","أربط الحزام
أو أطفئ","Закопчайте колан
или изкл.контакт","系上安全带
或者关闭","Zapnout pás nebo
vypnout kontakt","Spænd bælte
ELLER SLUK","Gurt anlegen
oder Motor aus","Δέστε ζώνη ή
κλείστε διακόπτη","Fasten belt
or switch off","Abroch. cinturón
o apagar motor","Cinturón de seg.
o apagar motor","Kinnitage vöö
või lül välja","بستن کمربند
یا خاموش کن","Kiinnitä vyö tai
sammuta moottori","חגור חגורת בטיחות
או דומם מנוע","सीटबेल्ट लगाएं
या स्विच ऑफ","Zaveži pojas ili
ugasi motor","Kösse be az övet
v. motort leáll.","Kencangkan sabuk
atau matikan","Allaccia cintura
o spegni motore","シートベルトを着用してく
又はエンジンオフ","안전벨트착용또는
시동을 끄십시오","Prisisekite
arba išjunkite","Piesprādzējiet
vai izslēdziet","Gordel vastmaken
of zet motor uit","Fest belte eller
stopp motoren","Zapnij pas lub
wyłącz zapłon","Afivelar cinto
ou deslig. motor","Coloque o cinto
ou desligue mot.","Cuplaţi centura
Sau opriţi motor","пристег. ремень
или выкл. двиг.","Zapni pás alebo
vypni motor","Pripnite pas ali
ugasnite motor","Lidheni rripin
ose fike motorin","Vežite pojas ili
isključ. kontakt","Ta på dig bältet
Start förhindrad","Emn.kemeri takın
veya motor kapat","Пристебн. пасок
або вимк. двигун","Thắt chặt dây đai
hoặc tắt"
10805_2,"Capot ouvert
Couper contact","الكبود مفتوح
اطفيء","Капака е отворен
изкл. контакта","机罩打开
关闭","Otevřená kapota
Vypnout kontakt","Hjelm åben
SLUK","Motorhaube offen
Zündung aussch.","Ανοικτό καπό
Κλείστε διακόπτη","Hood opened
Switch off","Capó abierto
Cortar contacto","Capó abierto
Apagar veh.","Kapott avatud
Lülitage välja","درب موتور باز
خاموش کن","Konepelti auki,
sammuta moottori","מכסה מנוע פתוח
דומם מנוע","बोनट खुल गया
स्विच ऑफ","Hauba otvorena
ugasi motor","Motorház nyitva
Gyújtást kikapcs","Tutup terbuka
Matikan","Cofano aperto
spegnere motore","ボンネットが開いています
エンジンオフ","후드 열림
시동을 끄십시오","Kapotas atvertas
išjunkite","Pārsegs atvērts
Izslēdziet","Motorkap geopend
zet contact uit","Panser er åpent
skru av tenning","Pokrywa otwarta
Wyłącz zapłon","Capô aberto
desligar ignição","Capô aberto
Desligue igniçao","Capotă motor
Deschisă","капот открыт
выключ. двиг.","Otvorená kapota
vypni zapaľov.","Odprt pokrov
izključi kontakt","Kapaku hapur
Ndal kontaktin","Poklopac motora
isključ.kontakt","Huv öppen
Start förhindrad","Kaput açık
Kontağı kapatın","Капот відкритий
Вимкніть двигун","Đã mở
mui xe Tắt"
10807_3,"Mode sauvegarde
batterie 12V","وضع نسخ الاحتياط
للبطارية 12 فولت","12 В акумулатор
архивиране","12伏 蓄电池
备份模式","Ochranný režim
12V baterie","Batteri i
sikker position","Sicherheitsmodus
12V-Batterie","Λειτ. Backup
μπαταρίας 12V","12V battery
backup mode","Modo salvaguarda
batería 12V","Batería en
modo seguro","12 V aku
tagavararežiim","باطری 12 ولت
حالت پشتیبانی","12V akun
säästötila","סוללת 12 וולט
מצב גיבוי","बैटरी सुरक्षित
मोड में","12V akumulator u
pričuvnom režimu","12 V akku kímélő
üzemmód","Baterai Dalam
Mode Siaga","Batteria 12V
modalità backup","12V バッテリー
バックアップMODE","12V 배터리
보호모드","12V baterija
atsarg. režimas","12V akumulators
dublējuma režīms","Spaarstand
12V accu","12V batteri
i spare modus","Tryb bezpieczny
akumulatora 12V","Modo proteção
de bateria 12V","Modo salvaguarda
bateria 12V","Baterie in
mod siguranță","Режим сохранения
12В батареи","12V batéria
záložný režim","Baterija v
varnem načinu","Moduli rezervë
me bateri 12V","Sigurnosni režim
baterije 12V","12V Batteri i
Säkerhetsläge","12V akü
koruma modu","Батарея 12В
режим збереження","Ắc quy Hiện đang
ở Chế độ Chờ"
10810_1,"Mettre boîte de
vitesses sur P","تحديد صندوق تروس
الوضع (P)","Селектор кутия
на поз. P","换挡杆
请置于P","Přesunout páku
do pozice P","Skift til
position P","Getriebe
Position P","Επιλέξτε θέση P
στο κιβώτιο ταχ.","Select Gearbox
Position ""P""","Selec posic P en
caja de cambios","Seleccione
Palanca en P","Valige käigukast
positsioon P","انتخاب دنده
در حالت P",Valitse vaihde P,"שלב להילוך
חניה (P)","गियरबॉक्स चुनाव
स्तिथि P","Stavite u
P","Sebességváltót
kapcsolja P-be","Pilih Kotak Gir
Posisi ""P""","Mettere leva
cambio su P","ギアボックスを選択
位置P","변속레버를 P에
위치해 주십시오","Pasirinkti pav.
dėžės P padėtį","Iestatiet sviru
pozīcijā ""P""","Selecteer
stand P","Velg girkasse
posisjon P","Ustaw bieg
w pozycji P","Posicionar o
câmbio em P","Coloc. cx.veloc.
em P","Selectează
poziția parcare","Выберите полож.
P селектора АКП","Presunúť páku
do pozície P","Prestavite menj.
v položaj P","Zgjidh ""P""
n","Menjač postavite
u poziciju P","Lägg i
Växelläge P","Vitesi P 'ye
getiriniz","Важіль передачі
встановити на Р","Chọn Vị trí
Hộp số ""p"""
10812_1,"Débrancher câble
pour démarrer","قم بفصل الكابل
للبدء","Изключи кабела
за да стартира",断开电缆以便启动,"Pro rozjezd
odpojit kabel","Afbryd kablet
for at starte","Kabel z.Anlassen
trennen","Αποσυνδ. καλώδιο
για εκκίνηση","Disconnect cable
to start","Desconec. cable
para arrancar","Desconectar cable
para arrancar","Ühendage kaabel
alust. lahti","جدا کردن کابل
برای شروع","Kytke johto irti
käynnistä","נתק את הכבל
כדי להפעיל","स्टार्ट करने के लिए
केबल हटाएं","Isključ. punjač
za start","Indításhoz kös-
se le a kábelt","Lepaskan kabel
untuk nyala","Staccare il cavo
per avviare","ケーブルを切離し
スタート","케이블 연결 해제
시동 시작","Atjungti kabelį
paleidimui","Lai sāktu,
atvien. kabeli","Kabel loskoppelen
om te starten","Koble fra kabel
før start","Odłącz kabel
aby uruchomić","Desplugar o cabo
para dar partida","Desligue cabo
para arrancar","Decuplaţi cablul
pentru a porni","Отключить кабель
чтобы поехать","Pre štart
odpojiť kábel","Odključite kabel
za zagon","Shkëput kabllon
për ta ndezur","Isključiti kabl
za pokretanje","Koppla fr. kabel
för start","Çalıştırmak için
kabloyu ayırın","Від'єдн. кабель
для пуску","Ngắt kết nối cáp
để bắt đầu"
10815_1,"Remote Engine Start en cours
Appuyer sur le frein + START","Remote Engine Start جاري
اضغط على الفرامل + START","Remote Engine Start в ход
Натиснете спирачка + START","Remote Engine Start 正在进行
踩下刹车踏板 + START","Remote Engine Start probíhá
sešlápněte brzdu + START","Remote Engine Start i gang
Tryk på bremsen + START","Remote Engine Start im Gange
Bremse drücken + START","Remote Engine Start σε εξέλιξη
Πατήστε φρένο + START","Remote Engine Start in progress
Press brake + START","Remote Engine Start en curso.
Presione el freno + START","Remote Engine Start en curso
Pise el freno + START","Remote Engine Start käimas
Vajutage pidurit + START","Remote Engine Start در حال انجام است
ترمز را فشار دهید + START","Remote Engine Start käynnissä
Paina jarrua + START","Remote Engine Start מתבצעת
לחץ על בלם + START","Remote Engine Start इन
प्राग्रेस ब्रेक दबायें + START","Remote Engine Start u tijeku
Prit. kočnicu + START","Remote Engine Start folyamatban
Lépjen a fékre + START","Remote Engine Start sedang berlangsung
Tekan rem + START","Remote Engine Start in corso
Premere il freno + START","Remote Engine Start 作動中
ブレーキを踏んで + START","Remote Engine Start 진행중
브레이크 밟고 + START 누르십시오","Remote Engine Start vykdoma
Spauskite stabdį + START","Notiek Remote Engine Start
Nospiediet bremzi + START","Remote Engine Start bezig
Druk rempedaal in + START","Remote Engine Start pågår
Trykk på bremsen + START","Remote Engine Start w toku
Naciśnij hamulec + START","Remote Engine Start em andam.
Pressione freio + START","Remote Engine Start em curso
Carregar no travão + START","Remote Engine Start în curs
Apasă frână + START","Работает Remote Engine Start
Нажать тормоз + START","Remote Engine Start prebieha
stlačte brzdový pedál + START","Remote Engine Start v teku
Pritisnite zavoro + START","Remote Engine Start në proces
Shtypni frenin + START","Remote Engine Start u toku
Prit. kočnicu+ START","Remote Engine Start pågår
Tryck ner broms + START","Remote Engine Start devrede
Frene bas + START","Remote Engine Start виконується
Натисніть гальмо + START","Remote Engine Start Đang tiến hành
Nhấn phanh + START"
10816_10,"Arrêt moteur
forcé effectué","تم تنفيذ توقف
إجبارى للمحرك","принудителен
стоп на двигател","发动机
强制停止","Provedeno nucené
zastavení motoru","Tvunget motor
stop udført","Zwangsabschal-
tung Motor","Εξαναγκασμένη
διακοπή κινητήρα","Forced engine
stop performed","Efectuada parada
de motor forzada","Parada de motor
forzada hecha","Mootori sund-
seiskamine","فشار به موتور
متوقف گردید","Moottori
hätäpysäytetty","בוצע כיבוי
מנוע כפוי","इंजन जबरदस्ती
बंद किया गया","Motor prislino
zaustavljen","Motor kénysze-
rített leállása","Forced Engine
Stop performed","Arresto motore
inserim. forzato","エンジン
非常停止",엔진 긴급정지됨,"Privers. varikl.
Išj. atliktas","Veikta ārkārtas
motora apturēš.","Motor geforceerd
uitgezet","Påtvinget motor
stopp utført","Wymuszony
stop silnika","Parada emerg. do
motor realizada","Paragem motor
forçada efet.","Oprire motor
forțată","Принудительная
остановка дв-ля","Vynútené
vypnutie motora","Motor prisilno
zaustavljen","Ndalje dhunshme
e motorit","Motor prisilno
zaustavljen","Motor nödstoppad
Utfört","Motor
zorunlu durdu","Виконана примус.
зупинка двигуна","động cơ
dừng gấp"
